,precision,recall,f1-score,support
Normal,0.7203947368421053,0.49324324324324326,0.5855614973262032,444.0
Diabetic Retinopathy,0.5210355987055016,0.6708333333333333,0.5865209471766849,240.0
Glaucoma,0.47692307692307695,0.6595744680851063,0.5535714285714286,47.0
Cataract,0.7666666666666667,0.9583333333333334,0.8518518518518519,48.0
Myopia,0.8292682926829268,0.9444444444444444,0.8831168831168831,36.0
Other,0.49171270718232046,0.6137931034482759,0.5460122699386503,145.0
accuracy,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666
macro avg,0.6343335131670996,0.7233703209812895,0.667772479663617,960.0
weighted avg,0.6304908255631474,0.6041666666666666,0.6027344428128091,960.0
